Date0 ut0 Date1 ut1
20110324 1.234 20110324 2.246
20110324 13.372 20110324 14.214
20110325 1.351 20110325 2.306
20110325 13.511 20110325 14.502
20110326 1.593 20110326 2.576
20110326 13.643 20110326 14.633
20110327 1.72 20110327 2.769
20110327 13.812 20110327 14.807
20110328 1.98 20110328 2.806
20110328 14.003 20110328 14.987
20110329 2.017 20110329 3.096
20110329 14.16 20110329 15.104
20110330 2.22 20110330 3.249
20110330 14.297 20110330 15.401
20110331 2.227 20110331 3.697
20110331 14.336 20110331 15.563
20110401 2.348 20110401 3.842
20110401 14.36 20110401 15.754
20110402 2.402 20110402 3.906
20110402 14.647 20110402 15.831
20110403 2.567 20110403 4.035
20110403 14.802 20110403 16.027
20110404 2.902 20110404 4.167
20110404 15.066 20110404 16.251
20110406 3.278 20110406 4.486
20110406 15.248 20110406 16.563
20110407 3.37 20110407 4.794
20110407 15.437 20110407 16.761
20110408 3.561 20110408 4.8
20110408 15.618 20110408 16.74
20110409 3.69 20110409 4.864
20110409 15.778 20110409 16.926
20110410 3.971 20110410 5.001
20110410 15.929 20110410 17.048
20110411 4.022 20110411 5.271
20110411 16.022 20110411 17.384
20110412 4.13 20110412 5.446
20110412 16.111 20110412 17.499
20110413 4.364 20110413 5.492
20110413 16.338 20110413 17.608
20110414 4.395 20110414 5.526
20110414 16.434 20110414 17.704
20110415 4.573 20110415 5.826
20110415 16.622 20110415 17.822
20110416 4.739 20110416 5.727
20110416 16.873 20110416 17.846
20110417 4.815 20110417 6.097
20110417 16.905 20110417 18.133
20110418 4.997 20110418 6.089
20110418 17.069 20110418 18.186
20110419 5.069 20110419 6.186
20110419 17.128 20110419 18.229
20110420 5.299 20110420 6.375
20110420 17.304 20110420 18.446
20110421 5.358 20110421 6.552
20110421 17.344 20110421 18.64
20110422 5.349 20110422 6.729
20110422 17.559 20110422 18.673
20110423 5.577 20110423 6.782
20110423 17.622 20110423 18.793
20110424 5.764 20110424 6.827
20110424 17.823 20110424 18.958
20110425 5.915 20110425 7.056
20110425 17.912 20110425 19.073
20110426 6.002 20110426 7.265
20110426 18.126 20110426 19.161
20110427 6.082 20110427 7.448
20110427 18.154 20110427 19.32
20110428 6.281 20110428 7.401
20110428 18.372 20110428 19.398
20110429 6.426 20110429 7.504
20110429 18.506 20110429 19.548
20110430 6.572 20110430 7.626
20110430 18.724 20110430 19.604
20110501 6.781 20110501 7.639
20110501 18.886 20110501 19.677
20110502 6.878 20110502 7.837
20110502 18.851 20110502 19.865
20110503 7.025 20110503 7.882
20110503 19.016 20110503 20.0
20110504 7.113 20110504 8.062
20110504 19.201 20110504 20.13
20110505 7.2 20110505 8.27
20110505 19.284 20110505 20.212
20110506 7.369 20110506 8.372
20110506 19.407 20110506 20.349
20110507 7.422 20110507 8.541
20110507 19.532 20110507 20.549
20110508 7.56 20110508 8.618
20110508 19.632 20110508 20.694
20110509 7.686 20110509 8.798
20110509 19.701 20110509 20.815
20110510 7.801 20110510 8.914
20110510 19.914 20110510 20.921
20110511 8.071 20110511 8.971
20110511 20.147 20110511 21.077
20110512 8.198 20110512 9.123
20110512 20.213 20110512 21.198
20110513 7.899 20110513 9.363
20110513 20.0 20110513 21.374
20110514 7.903 20110514 9.499
20110514 20.456 20110514 21.746
20110515 8.403 20110515 9.449
20110515 20.573 20110515 21.59
20110516 8.614 20110516 9.626
20110516 20.739 20110516 21.678
20110517 8.713 20110517 9.735
20110517 20.779 20110517 21.855
20110518 8.558 20110518 9.863
20110518 20.428 20110518 21.943
20110519 8.702 20110519 10.062
20110519 20.917 20110519 22.17
20110520 8.877 20110520 10.161
20110520 21.019 20110520 22.317
20110521 8.338 20110521 10.362
20110521 20.94 20110521 22.394
20110522 8.936 20110522 10.431
20110522 20.983 20110522 22.552
20110523 8.67 20110523 10.622
20110523 20.669 20110523 22.699
20110524 8.616 20110524 10.756
20110603 10.251 20110603 12.141
20110603 22.518 20110604 0.205
20110604 10.294 20110604 12.307
20110604 22.785 20110605 0.413
20110605 11.149 20110605 12.495
20110605 23.199 20110606 0.594
20110606 11.047 20110606 12.674
20110606 23.149 20110607 0.639
20110607 11.394 20110607 12.782
20110607 23.869 20110608 0.827
20110608 11.954 20110608 12.916
20110608 23.974 20110609 0.996
20110609 12.187 20110609 13.077
20110610 0.271 20110610 1.107
20110610 12.329 20110610 13.222
20110611 0.432 20110611 1.309
20110611 12.612 20110611 13.349
20110612 0.699 20110612 1.462
20110612 12.807 20110612 13.55
20110613 0.715 20110613 1.613
20110613 12.794 20110613 13.704
20110614 0.991 20110614 1.79
20110614 13.111 20110614 13.817
20110615 1.154 20110615 1.902
20110615 13.319 20110615 13.972
20110616 1.176 20110616 1.956
20110616 12.936 20110616 13.842
20110617 0.849 20110617 1.538
20110617 12.645 20110617 13.424
20110618 0.435 20110618 1.181
20110618 12.249 20110618 13.036
20110619 0.044 20110619 0.906
20110619 11.836 20110619 12.643
20110619 23.699 20110620 0.504
20110620 11.466 20110620 12.332
20110620 23.165 20110621 0.167
20110621 11.074 20110621 12.079
20110621 22.861 20110621 23.599
20110622 10.641 20110622 11.706
20110622 22.496 20110622 23.397
20110623 10.296 20110623 11.273
20110623 22.086 20110623 23.124
20110624 9.876 20110624 10.982
20110624 21.715 20110624 22.702
20110625 9.54 20110625 10.603
20110625 21.33 20110625 22.506
20110626 8.98 20110626 10.174
20110626 20.93 20110626 22.117
20110627 8.712 20110627 9.74
20110627 20.516 20110627 21.664
20110628 8.279 20110628 9.461
20110628 20.118 20110628 21.352
20110629 7.888 20110629 9.087
20110629 19.747 20110629 20.905
20110630 7.547 20110630 8.715
20110630 19.355 20110630 20.497
20110701 7.103 20110701 8.378
20110701 19.001 20110701 20.121
20110702 6.693 20110702 7.914
20110702 18.578 20110702 19.794
20110703 6.377 20110703 7.565
20110703 18.22 20110703 19.371
20110704 5.9 20110704 7.199
20110704 17.757 20110704 19.035
20110705 5.437 20110705 6.856
20110705 17.377 20110705 18.517
20110706 5.206 20110706 6.263
20110706 17.01 20110706 18.128
20110707 4.794 20110707 5.981
20110707 16.574 20110707 17.936
20110708 4.343 20110708 5.607
20110708 16.149 20110708 17.292
20110709 3.995 20110709 5.15
20110709 15.75 20110709 16.96
20110710 3.623 20110710 4.721
20110710 15.373 20110710 16.517
20110711 3.088 20110711 4.274
20110711 14.986 20110711 16.099
20110712 2.734 20110712 3.896
20110712 14.556 20110712 15.705
20110713 2.383 20110713 3.495
20110713 14.187 20110713 15.173
20110714 1.986 20110714 3.109
20110714 13.749 20110714 14.851
20110715 1.637 20110715 2.562
20110715 13.375 20110715 14.416
20110716 1.134 20110716 2.306
20110716 12.977 20110716 14.052
20110717 0.676 20110717 1.84
20110717 12.513 20110717 13.62
20110718 0.286 20110718 1.606
20110718 12.093 20110718 13.207
20110718 23.866 20110719 1.165
20110719 11.712 20110719 12.709
20110719 23.486 20110720 0.57
20110720 11.293 20110720 12.351
20110720 23.068 20110721 0.332
20110721 10.852 20110721 11.914
20110721 22.734 20110721 23.783
20110722 10.471 20110722 11.561
20110722 22.281 20110722 23.286
20110723 10.149 20110723 11.07
20110723 21.885 20110723 22.807
20110724 9.583 20110724 10.66
20110724 21.423 20110724 22.484
20110725 9.314 20110725 10.259
20110725 21.061 20110725 22.056
20110726 8.852 20110726 9.843
