Date x y z r
20080101 -0.24875417 -0.34357765 -0.007834401 0.42424712
20080102 -0.22564147 -0.3536579 -0.006352065 0.4195573
20080103 -0.20162538 -0.3623211 -0.0048443154 0.41467196
20080104 -0.17677324 -0.3694807 -0.0033165016 0.4096044
20080105 -0.15116072 -0.37504935 -0.001774451 0.40436953
20080106 -0.124872565 -0.37893966 -0.00022450552 0.39898428
20080107 -0.09800357 -0.38106465 0.0013264365 0.39346758
20080108 -0.07065952 -0.3813388 0.002870883 0.38784054
20080109 -0.04295815 -0.3796791 0.0044007134 0.38212693
20080110 -0.015030129 -0.37600645 0.005907151 0.37635309
20080111 0.01298011 -0.37024727 0.0073807416 0.37054825
20080112 0.0409136 -0.36233562 0.008811351 0.36474466
20080113 0.068596326 -0.35221556 0.010188178 0.3589778
20080114 0.09583902 -0.33984387 0.011499789 0.35328633
20080115 0.12243738 -0.32519323 0.012734191 0.3477121
20080116 0.14817289 -0.3082556 0.013878937 0.3423001
20080117 0.17281435 -0.289046 0.014921279 0.33709794
20080118 0.1961203 -0.26760614 0.015848372 0.33215567
20080119 0.21784247 -0.2440083 0.016647536 0.32752487
20080120 0.23773025 -0.21835849 0.017306566 0.32325783
20080121 0.25553638 -0.19079906 0.017814094 0.31940642
20080122 0.2710235 -0.16151024 0.01816 0.31602073
20080123 0.28397176 -0.13071023 0.01833582 0.31314746
20080124 0.2941864 -0.09865342 0.018335156 0.31082845
20080125 0.30150568 -0.06562681 0.01815406 0.3090989
20080126 0.30580783 -0.03194427 0.017791314 0.30798602
20080127 0.30701667 0.002060939 0.017248614 0.30750772
20080128 0.30510563 0.03604512 0.016530633 0.30767184
20080129 0.300099 0.06966386 0.015644928 0.30847564
20080130 0.2920711 0.102581896 0.014601707 0.3099061
20080131 0.28114307 0.13448232 0.013413479 0.31194043
20080201 0.26747724 0.16507451 0.012094604 0.3145472
20080202 0.25127047 0.19410023 0.010660804 0.31768757
20080203 0.23274635 0.22133791 0.009128647 0.32131708
20080204 0.21214713 0.2466046 0.007515059 0.32538703
20080205 0.18972611 0.26975638 0.005836885 0.32984626
20080206 0.16574056 0.29068682 0.0041105207 0.3346426
20080207 0.14044575 0.30932468 0.0023516198 0.33972386
20080208 0.11409014 0.32563046 0.00057487894 0.34503925
20080209 0.086911574 0.3395926 -0.001206102 0.35053986
20080210 0.059134703 0.35122353 -0.0029788981 0.3561794
20080211 0.030969271 0.36055586 -0.004732287 0.36191437
20080212 0.0026091828 0.36763868 -0.006456232 0.36770463
20080213 -0.025767762 0.37253425 -0.008141842 0.3735131
20080214 -0.05399967 0.37531504 -0.009781303 0.37930596
20080215 -0.081939995 0.37606126 -0.011367803 0.38505256
20080216 -0.10945675 0.37485868 -0.012895456 0.39072508
20080217 -0.13643159 0.37179673 -0.0143592 0.39629862
20080218 -0.16275878 0.36696732 -0.015754735 0.4017507
20080219 -0.18834412 0.36046335 -0.017078428 0.40706143
20080220 -0.21310401 0.35237798 -0.018327242 0.41221285
20080221 -0.23696434 0.3428039 -0.019498669 0.41718918
20080222 -0.25985965 0.33183268 -0.02059067 0.42197624
20080223 -0.2817322 0.31955457 -0.021601615 0.4265616
20080224 -0.30253118 0.30605805 -0.022530232 0.43093416
20080225 -0.322212 0.29142967 -0.023375565 0.4350842
20080226 -0.3407356 0.27575412 -0.024136936 0.43900305
20080227 -0.35806793 0.25911397 -0.024813911 0.44268322
20080228 -0.37417924 0.24158984 -0.025406262 0.44611797
20080229 -0.38904384 0.22326042 -0.025913956 0.4493015
20080301 -0.40263948 0.2042025 -0.02633712 0.45222875
20080302 -0.41494715 0.18449111 -0.026676033 0.4548953
20080303 -0.42595065 0.16419965 -0.0269311 0.45729724
20080304 -0.43563637 0.1434 -0.027102843 0.45943138
20080305 -0.44399303 0.1221627 -0.027191898 0.46129486
20080306 -0.45101148 0.10055705 -0.02719899 0.46288535
20080307 -0.45668444 0.07865131 -0.027124941 0.4642009
20080308 -0.4610066 0.056512844 -0.026970658 0.46523997
20080309 -0.4639743 0.034208268 -0.026737131 0.46600133
20080310 -0.46558544 0.011803625 -0.026425429 0.4664841
20080311 -0.46583953 -0.010635448 -0.026036704 0.46668777
20080312 -0.4647376 -0.03304357 -0.025572188 0.4666121
20080313 -0.46228224 -0.05535545 -0.025033198 0.46625718
20080314 -0.4584775 -0.077505715 -0.024421137 0.4656234
20080315 -0.45332903 -0.09942877 -0.023737503 0.46471146
20080316 -0.44684407 -0.12105863 -0.022983886 0.46352246
20080317 -0.4390316 -0.14232874 -0.022161989 0.46205777
20080318 -0.4299024 -0.16317186 -0.021273626 0.46031913
20080319 -0.4194692 -0.18351988 -0.020320736 0.45830873
20080320 -0.40774685 -0.20330374 -0.019305397 0.45602918
20080321 -0.3947525 -0.22245316 -0.018229837 0.4534835
20080322 -0.38050586 -0.24089664 -0.017096447 0.45067528
20080323 -0.36502945 -0.25856128 -0.01590781 0.44760865
20080324 -0.34834895 -0.27537265 -0.0146667 0.44428843
