Date v
20080101 43.47802
20080102 44.012333
20080103 44.574726
20080104 45.1646
20080105 45.78118
20080106 46.42347
20080107 47.090202
20080108 47.779804
20080109 48.490314
20080110 49.21933
20080111 49.963932
20080112 50.72061
20080113 51.485188
20080114 52.252735
20080115 53.017525
20080116 53.772987
20080117 54.511684
20080118 55.225338
20080119 55.904934
20080120 56.540855
20080121 57.123116
20080122 57.64167
20080123 58.0868
20080124 58.44953
20080125 58.72212
20080126 58.898457
20080127 58.974472
20080128 58.94838
20080129 58.82079
20080130 58.59468
20080131 58.27521
20080201 57.86937
20080202 57.385586
20080203 56.83327
20080204 56.222363
20080205 55.562916
20080206 54.864765
20080207 54.137245
20080208 53.389008
20080209 52.627903
20080210 51.86093
20080211 51.09423
20080212 50.333115
20080213 49.582115
20080214 48.845066
20080215 48.12516
20080216 47.425045
20080217 46.74689
20080218 46.092457
20080219 45.463146
20080220 44.860085
20080221 44.284153
20080222 43.736027
20080223 43.216232
20080224 42.72515
20080225 42.263065
20080226 41.830185
20080227 41.426636
20080228 41.05251
20080229 40.70785
20080301 40.39268
20080302 40.106995
20080303 39.850784
20080304 39.62402
20080305 39.426674
20080306 39.258724
20080307 39.120136
20080308 39.010883
20080309 38.93095
20080310 38.880318
20080311 38.85897
20080312 38.86691
20080313 38.904133
20080314 38.97065
20080315 39.066475
20080316 39.191628
20080317 39.34613
20080318 39.53001
20080319 39.743294
20080320 39.986015
20080321 40.258198
20080322 40.559856
20080323 40.891003
20080324 41.25163
20080325 41.641697
20080326 42.061142
20080327 42.50985
20080328 42.98766
20080329 43.49432
20080330 44.0295
20080331 44.592735
20080401 45.183434
20080402 45.800804
20080403 46.443844
20080404 47.111282
20080405 47.80153
20080406 48.512615
20080407 49.24212
20080408 49.987106
20080409 50.74405
20080410 51.508743
20080411 52.27624
20080412 53.040794
20080413 53.795795
20080414 54.533787
20080415 55.246468
20080416 55.924805
20080417 56.559162
20080418 57.139553
20080419 57.655937
20080420 58.09861
20080421 58.458633
20080422 58.72831
20080423 58.90159
20080424 58.974464
20080425 58.94522
20080426 58.814552
20080427 58.585506
20080428 58.263294
20080429 57.85496
20080430 57.36897
20080501 56.814754
20080502 56.202255
20080503 55.541534
20080504 54.8424
20080505 54.114178
20080506 53.365486
20080507 52.60416
20080508 51.837166
20080509 51.070618
20080510 50.3098
20080511 49.559223
20080512 48.8227
20080513 48.10341
20080514 47.40398
20080515 46.72657
20080516 46.072918
20080517 45.44443
20080518 44.84222
20080519 44.26716
20080520 43.71992
20080521 43.201023
20080522 42.710846
20080523 42.249672
20080524 41.817703
20080525 41.415073
20080526 41.04186
20080527 40.698112
20080528 40.383854
20080529 40.099075
20080530 39.84377
20080531 39.617905
20080601 39.421463
20080602 39.254406
20080603 39.11671
20080604 39.008354
20080605 38.929306
20080606 38.87956
20080607 38.859093
20080608 38.867912
20080609 38.906017
20080610 38.97341
20080611 39.070114
20080612 39.19614
20080613 39.351517
20080614 39.536266
20080615 39.750427
20080616 39.99402
20080617 40.26707
20080618 40.5696
20080619 40.901615
20080620 41.263107
20080621 41.65404
20080622 42.07435
20080623 42.52392
