Date0 ut0 Date1 ut1 DateMid utMid ctype x y z xo yo zo xi yi zi source
20110324 4.586 20110324 7.539 20110324 6.0625 o 1.7701501 1.1212 -6.26385 2.6505 2.2521 -6.5594 0.8898 -0.0097 -5.9683 w
20110324 12.303 20110324 12.758 20110324 12.5305 i 2.12625 2.6585999 -0.75504994 2.3874 2.9099 -1.2116 1.8651 2.4073 -0.2985 w
20110324 14.738 20110324 14.804 20110324 14.771 o -0.64884996 -1.39435 -2.95545 -0.6253 -1.3817 -3.0422 -0.6724 -1.407 -2.8687 w
20110325 1.001 20110325 1.01 20110325 1.0055001 i 1.7018 2.0499 0.06155 1.7095 2.0573 0.0525 1.6941 2.0425 0.0706 w
20110325 3.507 20110325 3.531 20110325 3.519 o -0.16354999 -0.99615 -4.42275 -0.1532 -0.9882 -4.4439 -0.1739 -1.0041 -4.4016 w
20110325 13.074 20110325 13.104 20110325 13.089001 i 1.78045 1.9479 0.0838 1.8088 1.9726 0.0524 1.7521 1.9232 0.1152 w
20110325 15.067 20110325 15.256 20110325 15.1615 o -0.59155 -1.2258999 -3.5478 -0.5124 -1.1813 -3.7635 -0.6707 -1.2705 -3.3321 w
20110326 1.321 20110326 1.324 20110326 1.3225 i 1.5373499 1.5903001 0.40600002 1.5411 1.5934 0.4028 1.5336 1.5872 0.4092 w
20110326 3.237 20110326 3.296 20110326 3.2665 o -0.62605 -1.1847 -3.62485 -0.6003 -1.1714 -3.6914 -0.6518 -1.198 -3.5583 w
20110326 13.336 20110326 13.411 20110326 13.373501 i 1.66025 1.55235 0.3638 1.7475 1.6172 0.2895 1.573 1.4875 0.4381 w
20110326 15.133 20110326 15.166 20110326 15.1495 o -0.84745 -1.2228501 -3.1719499 -0.8339 -1.2178 -3.2136 -0.861 -1.2279 -3.1303 w
20110327 1.51 20110327 1.511 20110327 1.5105 i 1.5748501 1.3678 0.48945 1.5763 1.3688 0.4884 1.5734 1.3668 0.4905 w
20110327 4.517 20110327 4.521 20110327 4.519 o 0.33335 -0.5631 -5.4501 0.3354 -0.5619 -5.4526 0.3313 -0.5643 -5.4476 w
20110327 13.512 20110327 13.536 20110327 13.524 i 1.7876999 1.3877001 0.37585 1.8164 1.4052 0.353 1.759 1.3702 0.3987 w
20110327 15.545 20110327 15.545 20110327 15.545 o -0.74125004 -1.0683 -3.7482 -0.741 -1.0682 -3.7488 -0.7415 -1.0684 -3.7476 w
20110328 1.585 20110328 1.586 20110328 1.5855 i 1.8767 1.32125 0.3556 1.8781 1.322 0.3545 1.8753 1.3205 0.3567 w
