Date0 ut0 Date1 ut1 DateMid utMid ctype x y z xo yo zo xi yi zi source
20110324 1.167 20110324 1.234 20110324 1.2005 i 0.84975 1.4244 0.70809996 0.9255 1.5215 0.6523 0.774 1.3273 0.7639 w
20110324 2.246 20110324 2.259 20110324 2.2525 o -0.82780004 -1.4844999 -1.57725 -0.8255 -1.4864 -1.6013 -0.8301 -1.4826 -1.5532 w
20110324 13.345 20110324 13.372 20110324 13.3585 i 0.70785 1.1308999 0.84025 0.7432 1.173 0.8218 0.6725 1.0888 0.8587 w
20110324 14.214 20110324 14.25 20110324 14.232 o -0.92465 -1.3993 -1.2245 -0.9222 -1.4101 -1.2936 -0.9271 -1.3885 -1.1554 w
20110325 1.331 20110325 1.351 20110325 1.341 i 1.00025 1.3464 0.704 1.0253 1.3726 0.6873 0.9752 1.3202 0.7207 w
20110325 2.306 20110325 2.358 20110325 2.332 o -0.9898 -1.3673 -1.3257 -0.9854 -1.3807 -1.4235 -0.9942 -1.3539 -1.2279 w
20110325 13.462 20110325 13.511 20110325 13.4865 i 0.86625004 1.1048 0.8167 0.9369 1.1735 0.7812 0.7956 1.0361 0.8522 w
20110325 14.502 20110325 14.521 20110325 14.511499 o -1.02975 -1.35935 -1.71315 -1.0264 -1.3616 -1.7453 -1.0331 -1.3571 -1.681 w
20110326 1.583 20110326 1.593 20110326 1.588 i 0.83274996 0.98595 0.8585 0.8486 1.0001 0.8517 0.8169 0.9718 0.8653 w
20110326 2.576 20110326 2.784 20110326 2.6799998 o -1.04805 -1.31605 -2.021 -0.9974 -1.3254 -2.3619 -1.0987 -1.3067 -1.6801 w
20110326 13.608 20110326 13.643 20110326 13.6255 i 0.98895 1.03415 0.8102 1.0433 1.0777 0.7844 0.9346 0.9906 0.836 w
20110326 14.633 20110326 14.671 20110326 14.652 o -1.1599 -1.2544501 -1.6877 -1.1538 -1.26 -1.7548 -1.166 -1.2489 -1.6206 w
20110327 1.716 20110327 1.72 20110327 1.7179999 i 0.9741 0.9416 0.83985 0.9809 0.9466 0.837 0.9673 0.9366 0.8427 w
20110327 2.769 20110327 2.769 20110327 2.769 o -1.2042501 -1.2116 -1.8369501 -1.2042 -1.2116 -1.8374 -1.2043 -1.2116 -1.8365 w
20110327 13.809 20110327 13.812 20110327 13.8105 i 0.95215 0.85305 0.86660004 0.9574 0.8566 0.8646 0.9469 0.8495 0.8686 w
20110327 14.807 20110327 14.889 20110327 14.848 o -1.257 -1.1557 -1.8519499 -1.2413 -1.1653 -1.9915 -1.2727 -1.1461 -1.7124 w
20110328 1.903 20110328 1.98 20110328 1.9415 i 0.7731 0.67535 0.93085 0.918 0.7654 0.8932 0.6282 0.5853 0.9685 w
20110328 2.806 20110328 2.85 20110328 2.828 o -1.3364999 -1.0680499 -1.5199499 -1.333 -1.0773 -1.5998 -1.34 -1.0588 -1.4401 w
20110328 14.002 20110328 14.003 20110328 14.002501 i 0.8535 0.6696 0.92415 0.8562 0.6711 0.9234 0.8508 0.6681 0.9249 w
20110328 14.987 20110328 15.034 20110328 15.0105 o -1.35535 -1.0443499 -1.89855 -1.3463 -1.0501 -1.9777 -1.3644 -1.0386 -1.8194 w
20110329 2.001 20110329 2.017 20110329 2.0089998 i 1.1331999 0.7561 0.84315 1.1629 0.7706 0.8318 1.1035 0.7416 0.8545 w
20110329 3.096 20110329 3.102 20110329 3.099 o -1.3966501 -0.9888 -1.94745 -1.3953 -0.9896 -1.9586 -1.398 -0.988 -1.9363 w
20110329 14.108 20110329 14.16 20110329 14.134 i 0.9666 0.61899996 0.90875 1.0688 0.6647 0.879 0.8644 0.5733 0.9385 w
