Date ut MET
20080101 0.0 107632980.914992
20080102 0.0 107719380.914727
20080103 0.0 107805780.914431
20080104 0.0 107892180.914012
20080105 0.0 107978580.913554
20080106 0.0 108064980.912979
20080107 0.0 108151380.912288
20080108 0.0 108237780.91155
20080109 0.0 108324180.910667
20080110 0.0 108410580.909732
20080111 0.0 108496980.908678
20080112 0.0 108583380.907495
20080113 0.0 108669780.906237
20080114 0.0 108756180.904855
20080115 0.0 108842580.903378
20080116 0.0 108928980.901896
20080117 0.0 109015380.900276
20080118 0.0 109101780.898569
20080119 0.0 109188180.896731
20080120 0.0 109274580.894826
20080121 0.0 109360980.892868
20080122 0.0 109447380.890867
20080123 0.0 109533780.888853
20080124 0.0 109620180.886806
20080125 0.0 109706580.884802
20080126 0.0 109792980.882796
20080127 0.0 109879380.880836
20080128 0.0 109965780.87896
20080129 0.0 110052180.877122
20080130 0.0 110138580.8754
20080131 0.0 110224980.87379
20080201 0.0 110311380.872235
20080202 0.0 110397780.870853
20080203 0.0 110484180.869628
20080204 0.0 110570580.868403
20080205 0.0 110656980.867186
20080206 0.0 110743380.866222
20080207 0.0 110829780.865364
20080208 0.0 110916180.864559
20080209 0.0 111002580.863846
20080210 0.0 111088980.863336
20080211 0.0 111175380.862826
20080212 0.0 111261780.862333
20080213 0.0 111348180.861979
20080214 0.0 111434580.861645
20080215 0.0 111520980.86149
20080216 0.0 111607380.861334
20080217 0.0 111693780.861297
20080218 0.0 111780180.8613
20080219 0.0 111866580.927
20080220 0.0 111952981.142863
20080221 0.0 112039381.358726
20080222 0.0 112125781.586662
20080223 0.0 112212181.874953
20080224 0.0 112298582.174812
20080225 0.0 112384982.548863
20080226 0.0 112471382.976137
20080227 0.0 112557783.40341
20080228 0.0 112644183.830684
20080229 0.0 112730584.257957
20080301 0.0 112816984.68523
20080302 0.0 112903385.112504
20080303 0.0 112989785.55938
20080304 0.0 113076186.031342
20080305 0.0 113162586.503303
20080306 0.0 113248986.975265
20080307 0.0 113335387.447227
20080308 0.0 113421787.919189
20080309 0.0 113508188.39115
20080310 0.0 113594588.863317
20080311 0.0 113680989.368718
20080312 0.0 113767389.87412
20080313 0.0 113853790.379521
20080314 0.0 113940190.884923
20080315 0.0 114026591.390324
20080316 0.0 114112991.895726
20080317 0.0 114199392.407031
20080318 0.0 114285792.943626
20080319 0.0 114372193.480222
20080320 0.0 114458594.016818
20080321 0.0 114544994.553414
20080322 0.0 114631395.090009
20080323 0.0 114717795.626605
20080324 0.0 114804196.16889
20080325 0.0 114890596.731676
20080326 0.0 114976997.294462
20080327 0.0 115063397.857247
20080328 0.0 115149798.420033
20080329 0.0 115236198.973607
20080330 0.0 115322599.483068
20080331 0.0 115408999.992528
20080401 0.0 115495400.501989
20080402 0.0 115581801.01145
20080403 0.0 115668201.52091
20080404 0.0 115754602.030371
20080405 0.0 115841002.539831
20080406 0.0 115927403.039903
20080407 0.0 116013803.539724
20080408 0.0 116100204.039545
20080409 0.0 116186604.539366
20080410 0.0 116273005.039187
20080411 0.0 116359405.539008
20080412 0.0 116445806.036113
20080413 0.0 116532206.492202
20080414 0.0 116618606.948291
20080415 0.0 116705007.40438
20080416 0.0 116791407.860469
20080417 0.0 116877808.316558
20080418 0.0 116964208.772647
20080419 0.0 117050609.228736
20080420 0.0 117137009.663566
20080421 0.0 117223410.096977
20080422 0.0 117309810.530387
20080423 0.0 117396210.963798
20080424 0.0 117482611.397208
20080425 0.0 117569011.830619
20080426 0.0 117655412.264029
20080427 0.0 117741812.69744
20080428 0.0 117828213.125108
20080429 0.0 117914613.544009
20080430 0.0 118001013.962909
20080501 0.0 118087414.381809
20080502 0.0 118173814.80071
20080503 0.0 118260215.21961
20080504 0.0 118346615.608926
20080505 0.0 118433015.994674
20080506 0.0 118519416.380422
20080507 0.0 118605816.766171
20080508 0.0 118692217.151919
20080509 0.0 118778617.516134
20080510 0.0 118865017.758809
20080511 0.0 118951418.001485
20080512 0.0 119037818.244161
20080513 0.0 119124218.486837
20080514 0.0 119210618.729513
20080515 0.0 119297018.972189
20080516 0.0 119383419.214864
20080517 0.0 119469819.45754
20080518 0.0 119556219.550624
20080519 0.0 119642619.628475
20080520 0.0 119729019.706326
20080521 0.0 119815419.784177
20080522 0.0 119901819.862027
20080523 0.0 119988219.939878
20080524 0.0 120074620.017729
20080525 0.0 120161020.048122
20080526 0.0 120247419.962357
20080527 0.0 120333819.876592
20080528 0.0 120420219.790828
20080529 0.0 120506619.705063
20080530 0.0 120593019.619298
20080531 0.0 120679419.515
20080601 0.0 120765819.301401
20080602 0.0 120852219.087802
20080603 0.0 120938618.874202
20080604 0.0 121025018.691975
20080605 0.0 121111418.671829
20080606 0.0 121197818.651683
20080607 0.0 121284218.631537
20080608 0.0 121370618.611392
20080609 0.0 121457018.591246
20080610 0.0 121543418.5711
20080611 0.0 121629818.550954
20080612 0.0 121716218.530808
20080613 0.0 121802618.510662
20080614 0.0 121889018.515857
20080615 0.0 121975418.633841
20080616 0.0 122061818.751824
20080617 0.0 122148218.869808
20080618 0.0 122234618.987792
20080619 0.0 122321019.105775
20080620 0.0 122407419.223759
20080621 0.0 122493819.367573
20080622 0.0 122580219.591972
20080623 0.0 122666619.81637
20080624 0.0 122753020.040769
20080625 0.0 122839420.265168
20080626 0.0 122925820.489566
20080627 0.0 123012220.713965
20080628 0.0 123098620.959289
20080629 0.0 123185021.267456
20080630 0.0 123271421.575624
20080701 0.0 123357821.883791
20080702 0.0 123444222.191958
20080703 0.0 123530622.500126
20080704 0.0 123617022.823733
20080705 0.0 123703423.214759
20080706 0.0 123789823.605786
20080707 0.0 123876223.996813
20080708 0.0 123962624.387839
20080709 0.0 124049024.778866
20080710 0.0 124135425.169892
20080711 0.0 124221825.560919
20080712 0.0 124308225.9523
20080713 0.0 124394626.380374
20080714 0.0 124481026.808447
20080715 0.0 124567427.236521
20080716 0.0 124653827.664594
20080717 0.0 124740228.092668
20080718 0.0 124826628.520741
20080719 0.0 124913028.955704
20080720 0.0 124999429.422993
20080721 0.0 125085829.890282
20080722 0.0 125172230.357571
20080723 0.0 125258630.82486
20080724 0.0 125345031.292149
20080725 0.0 125431431.759439
20080726 0.0 125517832.227757
20080727 0.0 125604232.716948
20080728 0.0 125690633.206139
20080729 0.0 125777033.69533
20080730 0.0 125863434.184521
20080731 0.0 125949834.673712
20080801 0.0 126036235.162903
20080802 0.0 126122635.642872
20080803 0.0 126209036.105083
20080804 0.0 126295436.567295
20080805 0.0 126381837.029506
20080806 0.0 126468237.491718
20080807 0.0 126554637.953929
20080808 0.0 126641038.41614
20080809 0.0 126727438.859285
20080810 0.0 126813839.265868
20080811 0.0 126900239.672451
20080812 0.0 126986640.079034
20080813 0.0 127073040.485617
20080814 0.0 127159440.8922
20080815 0.0 127245841.298783
20080816 0.0 127332241.70705
20080817 0.0 127418642.117915
20080818 0.0 127505042.528781
20080819 0.0 127591442.939647
20080820 0.0 127677843.350513
20080821 0.0 127764243.630222
20080822 0.0 127850643.641315
20080823 0.0 127937043.650173
20080824 0.0 128023443.650984
20080825 0.0 128109843.651794
20080826 0.0 128196243.6526
20080827 0.0 128282643.653387
20080828 0.0 128369043.654135
20080829 0.0 128455443.65488
20080830 0.0 128541843.655604
20080831 0.0 128628243.656272
20080901 0.0 128714643.65694
20080902 0.0 128801043.657608
20080903 0.0 128887443.658268
20080904 0.0 128973843.658857
20080905 0.0 129060243.65945
20080906 0.0 129146643.659997
20080907 0.0 129233043.660485
20080908 0.0 129319443.660972
20080909 0.0 129405843.661449
20080910 0.0 129492243.661883
20080911 0.0 129578643.662272
20080912 0.0 129665043.662576
20080913 0.0 129751443.662877
20080914 0.0 129837843.66308
20080915 0.0 129924243.663283
20080916 0.0 130010643.663484
20080917 0.0 130097043.663577
20080918 0.0 130183443.663634
20080919 0.0 130269843.663621
20080920 0.0 130356243.663548
20080921 0.0 130442643.663366
20080922 0.0 130529043.663184
20080923 0.0 130615443.662922
20080924 0.0 130701843.662571
20080925 0.0 130788243.662133
20080926 0.0 130874643.661641
20080927 0.0 130961043.661032
20080928 0.0 131047443.660283
20080929 0.0 131133843.659501
20080930 0.0 131220243.658601
20081001 0.0 131306643.657619
20081002 0.0 131393043.656543
20081003 0.0 131479443.655333
20081004 0.0 131565843.654012
20081005 0.0 131652243.652582
20081006 0.0 131738643.651026
20081007 0.0 131825043.649406
20081008 0.0 131911443.64778
20081009 0.0 131997843.645965
20081010 0.0 132084243.644064
20081011 0.0 132170643.642091
20081012 0.0 132257043.640045
20081013 0.0 132343443.63792
20081014 0.0 132429843.635762
20081015 0.0 132516243.633572
20081016 0.0 132602643.631384
20081017 0.0 132689043.629217
20081018 0.0 132775443.627076
20081019 0.0 132861843.624976
20081020 0.0 132948243.622951
20081021 0.0 133034643.621067
20081022 0.0 133121043.619201
20081023 0.0 133207443.617467
20081024 0.0 133293843.615752
20081025 0.0 133380243.614148
20081026 0.0 133466643.612808
20081027 0.0 133553043.611469
20081028 0.0 133639443.610187
20081029 0.0 133725843.609092
20081030 0.0 133812243.608109
20081031 0.0 133898643.60724
20081101 0.0 133985043.606478
20081102 0.0 134071443.605877
20081103 0.0 134157843.605277
20081104 0.0 134244243.604676
20081105 0.0 134330643.604184
20081106 0.0 134417043.603818
20081107 0.0 134503443.603509
20081108 0.0 134589843.603263
20081109 0.0 134676243.603149
20081110 0.0 134762643.603035
20081111 0.0 134849043.602921
20081112 0.0 134935443.603012
20081113 0.0 135021843.603165
20081114 0.0 135108243.603297
20081115 0.0 135194643.603444
20081116 0.0 135281043.603711
20081117 0.0 135367443.603978
20081118 0.0 135453843.604245
20081119 0.0 135540243.604513
20081120 0.0 135626643.604849
20081121 0.0 135713043.605245
20081122 0.0 135799443.605645
20081123 0.0 135885843.606084
20081124 0.0 135972243.606553
20081125 0.0 136058643.607049
20081126 0.0 136145043.607561
20081127 0.0 136231443.608102
20081128 0.0 136317843.608657
20081129 0.0 136404243.609212
20081130 0.0 136490643.609786
20081201 0.0 136577043.610382
20081202 0.0 136663443.61099
20081203 0.0 136749843.690802
20081204 0.0 136836243.97097
20081205 0.0 136922644.239952
20081206 0.0 137009044.533345
20081207 0.0 137095444.908236
